experience,country,education,languages,frameworks,company_size,salary_usd
10,Australia,,"Rust, PHP","Spring, Spring",11-50,88259
,Germany,bachelors,"Ruby, C#","Flask, ASP.NET",1001-5000,191387
23,UK,Some College,,"Vue, Flask",1-10,-42591
35,USA,Bachelors,"Swift, C++","Vue, Express",11-50,
10,Brazil,Some College,"Rust, Rust","React, Django",1001-5000,92468
2,Brazil,Bachelors,"C#, C++",,51-200,64211
11,UK,,"PHP, PHP","Ruby on Rails, Spring",1001-5000,117459
,USA,Bachelors,"Rust, Swift","Ruby on Rails, Spring",201-1000,185170
19,Deutschland,,,"Spring, Laravel",1-10,96062
27,Singapore,bachelors,,"React, Laravel",201-1000,111596
8,USA,Some College,"PHP, JavaScript","Ruby on Rails, Express",1-10,109464
10,USA,Bachelors,"C++, C++",,1-10,107396
,USA,Bachelors,"Ruby, Swift","Spring, Angular",11-50,106986
27,USA,Masters,"Java, Ruby","Spring, React",201-1000,149593
,Canada,Masters,"Java, Go",,1-10,117493
11,Singapore,Bachelors,"Rust, Python",,51-200,87873
,USA,,"Java, Python",,11-50,188572
23,India,Bachelors,"PHP, Ruby","ASP.NET, Spring",51-200,100649
,Canada,Bachelors,"Swift, Rust","Laravel, Spring",201-1000,169748
6,France,Masters,"C#, Ruby","Spring, ASP.NET",5000+,85661
9,India,Masters,"Rust, Go","Express, Django",51-200,47053
N/A,France,Masters,"Python, Go","Laravel, Angular",51-200,151228
21,USA,Masters,"Java, Swift","ASP.NET, Vue",201-1000,135204
,India,Bachelors,"JavaScript, C#","Express, React",51-200,null
6,USA,PhD,"Go, C#","Spring, Ruby on Rails",51-200,109622
10,USA,Bachelors,"JavaScript, Ruby","Angular, Laravel",201-1000,97518
28,Singapore,Masters,"Swift, C#","Ruby on Rails, Express",51-200,124397
1,USA,Bachelors,"C#, JavaScript","React, Express",51-200,81337
29,Australia,Bachelors,"Java, Java","Angular, Spring",51-200,124541
4,UK,Bachelors,"Go, C++","Django, Spring",11-50,59570
4,Australia,Masters,,,5000+,92159
32,USA,Masters,"Python, Swift","Laravel, Django",51-200,214472
31,Canada,Masters,"Ruby, JavaScript","Vue, Laravel",11-50,150818
23,Japan,Bachelors,"Rust, PHP","ASP.NET, Express",201-1000,104110
8,India,Bachelors,"C#, PHP","ASP.NET, ASP.NET",1001-5000,43702
21,India,Bachelors,"PHP, C++","Ruby on Rails, Spring",51-200,90405
26,Germany,Bachelors,"C++, Python","Spring, Express",201-1000,115738
32,Germany,Bachelors,"PHP, Rust","Django, Vue",5000+,200550
27,India,Masters,"Go, Swift","Express, Spring",51-200,89016
33,India,Masters,"PHP, Rust","Express, Angular",1-10,104598
31,France,Bachelors,"Python, Ruby","Express, Django",5000+,156109
28,USA,Masters,"Java, Rust","ASP.NET, Angular",201-1000,187441
33,USA,Bachelors,"JavaScript, Ruby",,201-1000,193228
33,USA,Masters,"Python, Python","Vue, Ruby on Rails",51-200,189958
12,Japan,Bachelors,"Swift, Java","Angular, ASP.NET",5000+,100009
5,Canada,Bachelors,"Swift, Go","Vue, React",1001-5000,87767
2,Japan,High School,"Ruby, JavaScript","Spring, Django",11-50,63391
21,UK,Bachelors,"JavaScript, Python","Django, React",1-10,110498
40,USA,Bachelors,"Rust, Swift","Django, Ruby on Rails",201-1000,192812
17,Japan,Bachelors,"Rust, Swift","Laravel, Flask",51-200,86882
28,Canada,Bachelors,"Swift, Python","React, Vue",5000+,160233
10,USA,Masters,"Rust, C++",,1-10,141621
40,Germany,Bachelors,"JavaScript, C#","Django, Ruby on Rails",1001-5000,207994
10,USA,Masters,"Ruby, Rust","Vue, Flask",51-200,142388
32,India,PhD,"C#, C++","Spring, React",51-200,131588
1,Australia,,"Python, JavaScript","Spring, Ruby on Rails",11-50,61393
17,USA,Bachelors,"Go, Swift","React, Laravel",1-10,155672
40,USA,,,"Flask, React",1001-5000,223623
25,UNITED KINGDOM,PhD,"Java, PHP","Angular, Flask",51-200,145071
13,Germany,Bachelors,"C#, JavaScript",,1001-5000,104994
24,USA,Bachelors,"C#, Swift","Django, Django",1001-5000,138633
10,USA,Masters,"Java, PHP","Laravel, Ruby on Rails",5000+,118222
21,India,Bachelors,"JavaScript, C++","ASP.NET, Vue",1001-5000,85309
30,USA,Masters,"JavaScript, Ruby","Flask, Flask",1001-5000,165651
0,USA,Bachelors,"Rust, Ruby","Django, Express",1-10,80107
34,USA,,"Go, PHP","Flask, Ruby on Rails",51-200,173559
24,United States,High School,"C++, Rust","Spring, Django",1-10,189873
7,USA,Bachelors,"PHP, Swift",,1-10,104170
22,USA,Masters,"Ruby, Swift","Vue, Spring",11-50,
34,USA,Bachelors,"Python, JavaScript","ASP.NET, Spring",1-10,207538
26,USA,Bachelors,"Rust, Ruby","Angular, Angular",51-200,190662
38,India,Masters,"PHP, JavaScript","Flask, ASP.NET",1-10,133153
7,USA,Bachelors,,"Vue, ASP.NET",5000+,147229
17,Australia,High School,"Go, C++","ASP.NET, Angular",11-50,81545
,USA,Some College,,"Django, Spring",51-200,152944
39,UK,Masters,"C#, Rust","Flask, Express",201-1000,210866
29,India,Some College,"Go, Swift","ASP.NET, Express",11-50,118752
14,Germany,Some College,"Swift, Java","ASP.NET, Angular",1001-5000,105176
36,USA,Masters,"Rust, C++","Express, Ruby on Rails",11-50,187730
28,USA,Some College,"Go, Java","React, Spring",1001-5000,149998
35,Canada,MASTERS,"Go, C#","Angular, Ruby on Rails",5000+,?
7,USA,High School,"Java, Go","Spring, Ruby on Rails",1-10,96802
7,France,Bachelors,"C++, JavaScript","React, Ruby on Rails",51-200,76616
38,Germany,Bachelors,"Java, C++","Ruby on Rails, Flask",1-10,194482
19,Germany,Masters,"C++, Python","Laravel, Angular",201-1000,124403
20,USA,Masters,"Go, Swift","ASP.NET, Laravel",1-10,
8,France,Bachelors,"C#, Rust","Laravel, React",51-200,83753
1,Germany,Bachelors,"Python, Ruby","Vue, Flask",51-200,67051
0,USA,,"Go, PHP","Vue, Laravel",51-200,97604
29,Japan,Bachelors,"C#, Ruby","ASP.NET, Vue",5000+,166408
-9,Germany,Masters,"Swift, Go","Vue, ASP.NET",5000+,157646
29,USA,BACHELORS,"Go, Python","Laravel, Spring",51-200,158158
30,Germany,Masters,,,51-200,188327
15,United Kingdom,Masters,"C++, Rust","Flask, Spring",11-50,102561
11,Australia,Some College,"C#, Python","Ruby on Rails, Spring",5000+,115419
18,USA,Masters,"Swift, Swift","Flask, ASP.NET",51-200,157926
34,USA,High School,"C#, Python","Laravel, Flask",51-200,157580
18,Brazil,Bachelors,"Ruby, JavaScript","Django, React",1001-5000,108457
1,USA,Bachelors,"C++, JavaScript","Express, Vue",1-10,94549
28,USA,Some College,"Java, Python","Django, ASP.NET",5000+,187147
31,UK,Bachelors,,,1-10,151195
32,Canada,PhD,"Swift, Ruby","Ruby on Rails, Spring",201-1000,210856
,Japan,Bachelors,"Python, Java","React, Spring",1001-5000,157217
,Japan,Bachelors,"C++, Go","Flask, ASP.NET",5000+,67665
39,USA,Bachelors,"Swift, Swift","Express, React",201-1000,196684
6,Canada,Bachelors,"Go, Go",,11-50,
30,Australia,some college,"JavaScript, Python","Laravel, Laravel",1001-5000,164783
20,usa,High School,"PHP, JavaScript",,5000+,missing
31,USA,Some College,"Rust, PHP","Django, Django",51-200,171155
11,USA,Masters,,"Express, Vue",1001-5000,157653
34,  Canada  ,Some College,"Go, Rust","Flask, Flask",1-10,135890
,USA,,"Ruby, Ruby","Vue, Laravel",5000+,160362
37,USA,Bachelors,"C#, Java",,201-1000,231118
37,Australia,Some College,"C++, Swift",,1001-5000,177649
33,Germany,High School,"Java, Python","Laravel, ASP.NET",5000+,208003
14,France,Bachelors,"Go, Swift","Vue, Flask",5000+,
11,UK,Bachelors,"Java, Swift","Ruby on Rails, Ruby on Rails",1-10,110365
,India,Bachelors,"PHP, Java","Spring, ASP.NET",1001-5000,106582
13,GERMANY,Bachelors,"C#, JavaScript","React, Laravel",11-50,107998
35,  USA  ,Bachelors,"Python, Swift","Laravel, Flask",51-200,233234
38,Japan,,"Java, PHP","React, Laravel",201-1000,180939
7,Canada,Bachelors,"C#, C#","Django, Ruby on Rails",1-10,89352
36,USA,Masters,"C#, Go","Angular, Laravel",11-50,209970
7,Canada,Bachelors,"Python, PHP","Express, Spring",201-1000,76684
12,USA,High School,"C++, C++","ASP.NET, Ruby on Rails",5000+,137118
17,USA,Masters,,"Laravel, ASP.NET",51-200,162609
6,USA,Bachelors,"Java, Python","Express, Spring",1-10,107085
0,UK,Bachelors,"PHP, Go","Express, React",1001-5000,71353
9,USA,Bachelors,"Swift, C++","Angular, Angular",1-10,118254
,Germany,Masters,"Swift, Swift","Laravel, Laravel",201-1000,74250
30,JP,Bachelors,"PHP, C#","React, Spring",11-50,165485
8,France,Some College,"PHP, Ruby","Angular, Spring",201-1000,59475
19,India,Masters,"C++, Ruby","React, Express",5000+,
36,USA,Masters,"Swift, Go","Ruby on Rails, Flask",1001-5000,181335
3,USA,High School,"Ruby, JavaScript",,201-1000,106029
30,  USA  ,,"JavaScript, C++",,201-1000,184011
74,Australia,MASTERS,"Python, Rust","Vue, Laravel",201-1000,86941
5,USA,High School,,,51-200,85549
34,Japan,Some College,,"Laravel, Laravel",201-1000,166690
-,UK,Incomplete,"Ruby, PHP","Spring, Vue",5000+,168019
11,Japan,High School,"Ruby, Rust",,1-10,81435
34,India,Bachelors,"Swift, PHP","Laravel, ASP.NET",51-200,-24993
37,USA,,"C++, JavaScript","Flask, Vue",201-1000,224985
14,USA,Some College,"Java, Swift","Django, React",11-50,138098
28,Canada,Masters,"Ruby, Rust","React, Laravel",51-200,180006
32,USA,Bachelors,"PHP, C#","Vue, Vue",201-1000,210566
7,India,Bachelors,"Python, Python","Ruby on Rails, React",1001-5000,33869
10,Australia,Masters,"Java, JavaScript","Laravel, ASP.NET",1001-5000,73385
19,Singapore,Bachelors,"Swift, Rust","Flask, Django",201-1000,115156
29,Germany,Bachelors,"C++, Swift","Vue, ASP.NET",51-200,142830
1,Brazil,Bachelors,"Java, C#","Django, Vue",11-50,47023
18,Australia,Bachelors,"Rust, Rust","Express, Angular",11-50,89549
9,USA,Masters,"Java, C++","Angular, Flask",1-10,145053
14,Australia,,"PHP, JavaScript","ASP.NET, React",201-1000,85654
13,Japan,Bachelors,"Java, C#","Angular, Express",201-1000,93351
4,India,Bachelors,"JavaScript, PHP","React, React",1001-5000,
19,France,Bachelors,"PHP, PHP","Vue, ASP.NET",5000+,107588
21,USA,Some College,"Ruby, JavaScript","Flask, Express",201-1000,135040
25,Germany,Masters,"Python, Python","Spring, Laravel",11-50,147339
10,USA,Bachelors,"Go, JavaScript",,1001-5000,96406
13,France,,"Swift, Python","Vue, Flask",1-10,93261
,Australia,Bachelors,"C#, Ruby","Ruby on Rails, React",1-10,77490
37,Singapore,Masters,,"Ruby on Rails, Flask",1-10,196016
15,UK,Bachelors,"Python, JavaScript","Express, Flask",1-10,89002
,USA,Bachelors,"C++, Java","Express, Angular",1-10,76623
0,UK,Bachelors,"Java, C++","Angular, Angular",1-10,49110
6,Japan,Bachelors,"JavaScript, JavaScript","Express, Django",1001-5000,76986
14,UK,Bachelors,"PHP, Python","Laravel, Vue",51-200,108194
13,Germany,PhD,"Ruby, C++","Laravel, React",11-50,100936
25,USA,Some College,"JavaScript, Ruby","Laravel, Laravel",51-200,195306
33,India,Masters,"JavaScript, Python","Express, Django",5000+,118857
31,USA,Bachelors,"Rust, C#","Ruby on Rails, ASP.NET",1-10,162844
27,USA,Bachelors,"C#, Rust","Laravel, Express",201-1000,191851
25,UK,,,"Express, Spring",1-10,129108
0,UK,High School,"PHP, C++","Vue, Flask",11-50,60533
4,France,Masters,,,1001-5000,58031
,USA,Some College,"C#, PHP","Spring, Spring",1-10,
4,USA,High School,"C++, Swift","Flask, Express",51-200,85441
66,Singapore,Masters,"Rust, Go","Flask, Angular",1-10,68521
25,Japan,Masters,"JavaScript, Java","Spring, Angular",201-1000,126351
22,Canada,Bachelors,"Python, Java","Vue, React",1001-5000,128116
5,Brazil,Bachelors,"Rust, JavaScript","Spring, React",5000+,93199
28,USA,Bachelors,"PHP, Ruby","Django, Spring",1001-5000,156349
33,USA,Bachelor,"Swift, Swift","Flask, Ruby on Rails",51-200,217133
39,Germany,Masters,"C#, C++","Express, React",1-10,190340
34,Germany,Bachelors,"Python, Go",,1001-5000,149264
18,USA,Masters,"Rust, C#","Vue, Spring",5000+,183029
35,USA,Bachelors,"Java, C#",,5000+,171426
1,Singapore,Masters,"PHP, C#",,11-50,52652
34,UNITED STATES,Bachelors,"Java, PHP","Ruby on Rails, React",1-10,
34,USA,,"Python, Go","React, Vue",1001-5000,208186
0,UK,Bachelors,"C#, JavaScript","ASP.NET, Laravel",1001-5000,55709
35,Germany,,"Rust, Go","Angular, Express",5000+,205153
26,Germany,Bachelors,"C++, C#","Ruby on Rails, Vue",201-1000,144703
10,USA,Bachelors,"C#, C#","Flask, Flask",201-1000,125115
26,Canada,PhD,"JavaScript, JavaScript","Express, Vue",1001-5000,177363
1,UK,Bachelors,"C#, Go","Laravel, Flask",201-1000,61172
22,Canada,Bachelors,"Ruby, PHP","React, Ruby on Rails",51-200,138155
6,India,Masters,"Rust, Ruby","Django, Laravel",5000+,50748
7,Singapore,bachelors,"Java, Rust","Ruby on Rails, Vue",5000+,95004
15,India,Some College,"Ruby, PHP","React, ASP.NET",11-50,
19,  USA  ,Bachelors,"JavaScript, Python","Spring, Django",5000+,145119
27,USA,Masters,"JavaScript, PHP",,201-1000,168428
21,USA,Some College,"Rust, PHP","Express, Ruby on Rails",1001-5000,
,Canada,Some College,"C#, Java","Spring, Ruby on Rails",201-1000,91030
,UK,Bachelors,"PHP, Java","ASP.NET, React",1-10,154760
1,USA,Bachelors,"Rust, Go","Django, Ruby on Rails",51-200,NA
8,USA,Bachelors,"Go, C#","Django, ASP.NET",201-1000,104385
34,USA,Bachelors,"PHP, C#","Django, Laravel",201-1000,
3,USA,Master's,,"Spring, Ruby on Rails",11-50,121809
33,UK,Bachelors,"Python, Rust",,11-50,140655
,UK,Some College,,"React, Angular",1-10,145457
40,Canada,Bachelors,"Rust, Java","Django, Vue",11-50,1144315
9,Canada,Bachelors,"Rust, PHP","React, Django",11-50,86637
,India,Masters,"Python, Python","Flask, Flask",1001-5000,75465
missing,USA,Bachelors,"Python, PHP","Ruby on Rails, Vue",11-50,136144
23,Japan,Bachelors,"Python, C#","ASP.NET, Spring",201-1000,998724
24,Canada,Bachelors,"JavaScript, Rust","Flask, Express",11-50,
11,Germany,Bachelors,"Rust, Ruby","Ruby on Rails, Spring",51-200,77006
7,USA,Masters,"C++, Ruby","Django, Angular",51-200,107868
17,UK,PhD,"Java, Ruby","ASP.NET, React",1001-5000,128989
35,USA,Some College,"C#, Rust","React, Ruby on Rails",51-200,220718
37,Canada,Bachelors,"C#, Java","Spring, React",1001-5000,
6,USA,Masters,"Ruby, Rust","ASP.NET, Django",1-10,101797
1,USA,High School,"PHP, Python","React, React",201-1000,110344
16,USA,Masters,"Go, Go","Vue, Angular",1-10,158466
8,Canada,Bachelors,"Rust, Rust","ASP.NET, Vue",1-10,98408
29,Brazil,Bachelors,"C#, C++","Angular, Express",11-50,154933
34,USA,Masters,"Go, Java","ASP.NET, Flask",5000+,184543
25,India,Masters,"JavaScript, Python","Ruby on Rails, Angular",11-50,93031
0,USA,,"Java, C++","Express, Spring",201-1000,
7,Japan,,"Java, Ruby",,1001-5000,75815
27,UK,Bachelors,"Rust, Ruby","React, Laravel",1-10,123583
?,USA,Master's,"C++, Java","Angular, Ruby on Rails",1001-5000,178416
28,UK,PhD,"PHP, Python","Vue, Vue",5000+,
34,USA,Masters,"Rust, C++","Vue, Express",11-50,
21,USA,Bachelors,"Swift, C#","React, Express",51-200,138523
36,Australia,Bachelors,"Swift, Rust","Laravel, Spring",1-10,153099
31,USA,Some College,"C#, Java","Angular, Laravel",1001-5000,155819
6,Germany,Some College,"JavaScript, Go","Angular, Laravel",1001-5000,69951
7,USA,Masters,"Swift, Python","Laravel, Flask",201-1000,143885
39,UK,Bachelors,"JavaScript, Python",,51-200,161795
32,USA,Masters,"Swift, Swift","Vue, Express",5000+,205447
7,India,Bachelors,"Swift, Java","ASP.NET, ASP.NET",1001-5000,N/A
14,UK,Masters,"Go, JavaScript","Vue, Ruby on Rails",5000+,121017
,USA,Bachelors,"Java, JavaScript","React, React",201-1000,236746
7,India,PhD,"Ruby, PHP","React, Spring",1-10,48628
13,USA,,"PHP, Go","Flask, Django",1-10,109642
26,USA,Bachelors,"JavaScript, Java","Django, ASP.NET",5000+,169828
0,USA,Bachelors,"Ruby, Python","Angular, Angular",5000+,105564
14,USA,Masters,"Java, Swift","Flask, Vue",201-1000,130810
38,India,Master's,"C++, Ruby","Angular, Ruby on Rails",1001-5000,160440
16,USA,Bachelors,"C++, C++","ASP.NET, Vue",201-1000,
3,USA,Masters,"C#, C++","Django, Flask",201-1000,104785
39,Australia,Bachelors,"Java, C++","React, Spring",1001-5000,165479
6,United States,Bachelors,"Swift, Go","React, Vue",201-1000,113150
27,Singapore,High School,"PHP, Swift","React, Django",51-200,106550
18,Japan,Bachelors,"JavaScript, Java","Spring, Ruby on Rails",11-50,93162
0,USA,Bachelors,"Java, C++","Django, Laravel",51-200,106238
29,Germany,Bachelors,"Java, Python","ASP.NET, Flask",1-10,147605
18,USA,Masters,"Rust, Ruby","Django, Spring",5000+,167144
20,USA,Some College,"PHP, Java","Vue, Ruby on Rails",5000+,186950
26,Germany,Bachelors,"Rust, Ruby","Laravel, Express",1-10,158505
23,France,Masters,"Go, Python",,11-50,130896
,UK,Masters,"C++, C++","Spring, Vue",11-50,118435
33,Canada,,"Ruby, Java","Flask, Ruby on Rails",1-10,174117
29,UK,,"Java, C#","Django, Django",5000+,151477
3,U.S.A.,Bachelors,"Go, C#","Angular, React",11-50,111417
26,India,Some College,,"Ruby on Rails, ASP.NET",201-1000,99883
34,USA,,"Java, C++","Laravel, Laravel",1001-5000,193003
,UNITED STATES,Bachelors,"Rust, C++","Ruby on Rails, Spring",5000+,185594
20,USA,Bachelors,"C#, Java","Vue, ASP.NET",5000+,197075
4,UK,Some College,"C++, Swift","Angular, Ruby on Rails",51-200,85049
9,USA,,"JavaScript, JavaScript","Ruby on Rails, Angular",11-50,147782
17,USA,Masters,"Swift, Java","Spring, Express",51-200,
32,USA,Masters,"Swift, Swift","Angular, Angular",11-50,217049
10,Brazil,Masters,"JavaScript, Ruby","Angular, Vue",51-200,98982
13,India,Bachelors,,"ASP.NET, ASP.NET",1-10,44363
14,USA,Some College,"Go, Swift","React, React",1-10,106392
21,USA,Masters,"Go, PHP","Angular, Ruby on Rails",5000+,213407
10,USA,Masters,"Java, C#","Angular, Vue",201-1000,108439
13,Brazil,Bachelors,"PHP, PHP","Laravel, Angular",11-50,99968
34,USA,Masters,"C++, Python",,51-200,193185
20,USA,Bachelors,"Ruby, PHP","Angular, Flask",1-10,149195
15,USA,Bachelors,"Ruby, C++","Spring, Express",11-50,n/a
36,UK,Bachelors,"Python, JavaScript","Django, ASP.NET",51-200,173236
30,USA,Bachelors,"Go, C++","Ruby on Rails, Django",11-50,159027
38,USA,Bachelors,"Python, Swift","React, Django",1001-5000,175210
25,USA,Bachelors,"C#, Swift","Spring, ASP.NET",1-10,163362
-,USA,Masters,,,5000+,166982
38,USA,Masters,"Rust, C++","Ruby on Rails, Express",201-1000,233841
14,  Germany  ,High School,"Ruby, Go","Laravel, Django",201-1000,91645
18,USA,Bachelors,"JavaScript, JavaScript","Laravel, ASP.NET",1-10,116814
37,Germany,High School,"C#, C#","Django, Ruby on Rails",51-200,152361
4,USA,,"Ruby, Java","Vue, Ruby on Rails",11-50,103066
,Germany,Bachelors,"Ruby, PHP","Spring, Express",1001-5000,122998
4,USA,Masters,"Swift, PHP","Laravel, Django",51-200,104869
39,USA,Masters,"Ruby, Rust","ASP.NET, Spring",201-1000,211515
39,Germany,phd,"Python, PHP","Express, Django",51-200,169364
33,USA,Bachelors,"Ruby, Python","Ruby on Rails, ASP.NET",1001-5000,190611
36,USA,Masters,"C++, Java","ASP.NET, Flask",11-50,167320
5,USA,Bachelors,"Ruby, C#","React, Vue",1001-5000,110190
,Germany,Masters,"Ruby, Swift","Express, Laravel",1001-5000,93789
23,USA,Bachelors,"C++, JavaScript","Angular, Django",1-10,161574
1,Germany,Masters,"Python, Go","Angular, Spring",1001-5000,unknown
38,India,Some College,"C++, Rust","Laravel, Django",1-10,128478
6,Germany,Some College,"Ruby, Ruby","Django, Express",201-1000,
15,Singapore,Bachelors,"C#, Rust","Flask, Vue",1001-5000,104038
18,India,Some College,"C++, C++","Vue, Angular",5000+,92695
12,USA,Some College,"C#, Swift","Ruby on Rails, Vue",201-1000,105317
21,France,Masters,"Ruby, C++","Ruby on Rails, Vue",51-200,102556
20,USA,PhD,"Rust, C#","Express, Ruby on Rails",201-1000,185175
10,Japan,Some College,"Python, C#","Spring, Django",1001-5000,93807
30,Japan,Bachelors,"Java, Ruby","Flask, ASP.NET",5000+,151273
29,UK,Masters,"Java, Swift",,1001-5000,180570
37,Brazil,Bachelors,"PHP, Go","Flask, Laravel",11-50,142496
4,India,Bachelors,"Java, Swift",,11-50,31589
9,USA,Bachelors,"JavaScript, Swift","Express, Vue",201-1000,123677
40,India,Masters,"Swift, C++","Laravel, Django",1001-5000,122141
31,India,Bachelors,"Python, PHP","Django, Flask",11-50,123120
74,Germany,Some College,"PHP, Swift","Angular, React",5000+,145545
13,usa,Some College,"C++, Ruby","Vue, Angular",1001-5000,122483
28,USA,Masters,,"Express, ASP.NET",1-10,194741
11,Germany,Bachelors,"PHP, PHP","Vue, Django",51-200,94342
3,USA,Bachelors,"Ruby, JavaScript","Ruby on Rails, Ruby on Rails",5000+,99623
34,Australia,Bachelors,"C++, Ruby","Vue, Ruby on Rails",51-200,168671
36,Germany,Masters,"Rust, Java","Spring, ASP.NET",11-50,144737
1,USA,Bachelors,"Swift, Python","Laravel, Ruby on Rails",51-200,78348
31,Canada,Bachelors,"Python, Swift","Ruby on Rails, Angular",1-10,130601
16,Australia,,"Ruby, Go","Express, Vue",1001-5000,101784
4,USA,Masters,"C#, C++","Angular, Express",11-50,103172
6,USA,Bachelors,"Rust, Go","Angular, Express",51-200,92387
10,Japan,Bachelors,"PHP, Go","Express, React",1001-5000,84491
9,Germany,High School,"PHP, Python",,51-200,?
22,USA,Some College,"Go, Python","Express, ASP.NET",51-200,161335
23,USA,Bachelors,,"Django, Flask",201-1000,147715
36,Brazil,Some College,"Go, Python","Flask, Spring",1001-5000,175450
2,UK,Bachelors,"Java, Swift","Spring, Laravel",5000+,94353
36,USA,Bachelors,"C++, Java","ASP.NET, React",51-200,205377
4,USA,Masters,"JavaScript, Rust","Ruby on Rails, Ruby on Rails",1001-5000,
30,USA,Some College,"Swift, Java","Express, ASP.NET",1-10,162505
26,USA,Bachelors,"Ruby, Java","ASP.NET, ASP.NET",1001-5000,161465
22,UK,,"Java, Go","React, Express",1-10,112593
12,Canada,Bachelors,"Swift, PHP","Flask, Angular",11-50,100326
,UK,Bachelors,"Swift, Swift","Express, Ruby on Rails",1-10,207940
27,USA,Masters,"Java, Python","Ruby on Rails, ASP.NET",5000+,204261
4,USA,Some College,"Python, Java","Laravel, Angular",1-10,86520
9,Germany,Bachelors,"JavaScript, Swift","React, Django",11-50,87381
66,India,Masters,"Go, Python","Flask, Spring",1001-5000,128907
38,Germany,Some College,,"Ruby on Rails, Django",51-200,152224
,UK,Some College,"JavaScript, Ruby","Ruby on Rails, Laravel",1-10,
22,India,High School,,"Express, Express",1001-5000,96099
3,USA,Bachelors,"Java, Java","Express, Laravel",201-1000,84370
1,UK,Masters,"PHP, C++","ASP.NET, Ruby on Rails",5000+,103076
20,Canada,Bachelors,"Rust, Ruby","Spring, Django",5000+,157656
1,Japan,Bachelors,"Rust, Swift","Ruby on Rails, Spring",5000+,77603
32,USA,,"PHP, JavaScript","Laravel, Laravel",201-1000,154802
36,India,Bachelors,"Go, Ruby","Flask, Laravel",201-1000,142498
16,Singapore,Bachelors,"Go, Swift","ASP.NET, Angular",5000+,97974
14,USA,Bachelors,"Java, Java","Spring, Django",51-200,106865
10,Germany,Bachelors,"Go, PHP","Express, Ruby on Rails",1001-5000,81778
32,FRANCE,Masters,"Swift, Swift","Express, Express",11-50,NA
15,USA,Bachelors,"Swift, Python","Ruby on Rails, Spring",5000+,
27,Japan,Masters,"Python, Go","Angular, Laravel",5000+,-30958
27,India,Masters,"Swift, Ruby","Spring, Laravel",11-50,89556
16,US,Bachelors,"C++, JavaScript","Vue, Flask",1001-5000,112926
20,Canada,Bachelors,,"Django, Angular",1-10,135328
10,USA,Masters,"C#, C#","Laravel, ASP.NET",51-200,140833
26,Germany,Bachelors,"Rust, C#","ASP.NET, Ruby on Rails",201-1000,124567
20,India,Bachelors,"PHP, Ruby","ASP.NET, Express",5000+,74479
0,USA,  Bachelors  ,"C#, Go","Express, Django",11-50,76713
16,USA,Bachelors,"Ruby, PHP","Django, Django",51-200,148433
15,USA,Bachelors,"C#, Swift","Flask, Flask",201-1000,128751
4,India,PhD,"Go, C#","Angular, Vue",1001-5000,48422
7,United States,Bachelors,"Ruby, Java",,11-50,125330
21,USA,Bachelors,"Java, Java","Express, Laravel",201-1000,124538
35,USA,,"Java, C#","Laravel, React",201-1000,219133
34,Canada,,,"Ruby on Rails, Laravel",1001-5000,173543
6,Australia,Bachelors,"Java, Swift","Ruby on Rails, Express",1-10,72689
27,Germany,Bachelors,,"Vue, Laravel",1001-5000,163782
23,USA,Bachelors,"C#, C#","Angular, ASP.NET",51-200,147499
,Canada,Masters,,"Express, Vue",11-50,179282
7,France,PhD,,"Laravel, Spring",201-1000,74014
39,USA,Masters,,"Spring, Angular",1001-5000,243505
17,India,High School,"Go, Go","Express, Ruby on Rails",201-1000,58041
38,USA,Bachelors,,,1001-5000,
10,US,Bachelors,"Java, C++","Spring, Flask",51-200,96414
null,USA,Bachelors,"Swift, Ruby","Django, Django",1-10,133031
,Canada,Some College,"Swift, Ruby","Django, React",1001-5000,190935
36,USA,Masters,"C++, Go","Flask, Vue",201-1000,177799
32,India,Masters,"Go, C#",,11-50,106175
12,Australia,Bachelors,"C#, Python","Django, ASP.NET",201-1000,100429
5,USA,PhD,,"Ruby on Rails, React",201-1000,104599
-8,Germany,Some College,"Swift, Java","Django, ASP.NET",1001-5000,68841
,USA,BACHELORS,"Go, Python","ASP.NET, ASP.NET",201-1000,100262
23,USA,High School,"C++, PHP","Express, Django",5000+,162470
4,India,  Bachelors  ,"Python, Python","Ruby on Rails, Ruby on Rails",1-10,24723
35,Germany,,"Go, Ruby","Laravel, ASP.NET",1001-5000,144709
30,Germany,Masters,"Python, JavaScript","React, Django",5000+,158421
1,India,Some College,"PHP, Swift","Angular, Vue",51-200,19559
13,USA,Bachelors,"Python, JavaScript","Vue, Vue",51-200,130645
19,UK,Masters,"C++, JavaScript","Vue, Ruby on Rails",11-50,128372
,USA,Masters,"Python, Go","React, Vue",11-50,198584
unknown,USA,Bachelors,"Ruby, Ruby","Django, Angular",201-1000,163447
2,India,Bachelors,"Python, Python","Angular, Django",1-10,22937
18,USA,,,"Vue, Django",201-1000,140023
32,Canada,Bachelors,"Swift, C++",,51-200,131605
26,USA,Bachelor's,"Rust, Go","React, Laravel",51-200,153448
7,Australia,,"PHP, Rust",,201-1000,89973
29,Canada,Bachelors,"Rust, C#","Vue, Vue",1-10,122386
14,USA,Some College,"Rust, Rust","Flask, Angular",51-200,128437
36,USA,MASTERS,"C++, Java","Spring, Django",1001-5000,174725
5,India,High School,"C++, Go","Laravel, ASP.NET",11-50,27458
